Name,RAh,RAm,RAs,DE,DEd,DEm,DEs,a26,b_a,AB,l_FUVmag,FUVmag,Bmag,l_Hamag,Hamag,Kmag,f_Kmag,l_21mag,21mag,W50,TType,Tdw1,Tdw2,RVel,Dis,f_Dis
UGC12894,0,0,22.5,+,39,29,44,1.02,0.87,0.47,,17.57,16.8,,19.91,14.02,*,,15.66,34.0,10.0,Ir,L,335.0,8.47,TF
WLM,0,1,58.1,-,15,27,40,11.48,0.35,0.16,,12.8,11.03,,15.56,9.0,,,11.19,53.0,9.0,Im,N,-122.0,0.97,TRGB
And XVIII,0,2,14.5,+,45,5,20,1.4,0.99,0.45,>,23.0,17.0,,,12.49,*,,,,-3.0,Sph,L,-332.0,1.36,TRGB
ESO409-015,0,5,31.8,-,28,5,53,1.2,0.46,0.07,,16.08,15.15,,17.21,12.74,*,,15.28,53.0,9.0,Im,N,726.0,7.7,TF
AGC748778,0,6,34.4,+,15,30,39,0.32,0.52,0.28,,20.28,18.9,,,16.29,*,,18.21,16.0,10.0,Ir,L,258.0,5.4,h'
And XX,0,7,30.7,+,35,7,56,0.8,0.7,0.25,,21.84,19.0,,,14.67,*,,,,-3.0,Sph,X,-456.0,0.8,TRGB
UGC00064,0,7,44.0,+,40,52,32,1.66,0.56,0.34,,16.59,15.5,,,12.84,*,,14.3,60.0,10.0,Ir,N,305.0,9.6,TF
ESO349-031,0,8,13.3,-,34,34,42,1.23,0.82,0.05,,17.14,15.71,,21.43,13.02,,,15.53,30.0,10.0,Ir,L,221.0,3.21,TRGB
NGC0024,0,9,56.4,-,24,57,48,7.24,0.22,0.08,,14.16,12.38,,16.03,8.96,,,13.54,213.0,5.0,,,550.0,9.9,TF
NGC0045,0,14,3.9,-,23,10,56,8.51,0.69,0.09,,12.69,11.55,,14.41,9.09,,,11.98,172.0,8.0,,,465.0,9.2,TF
NGC0055,0,15,8.5,-,39,13,13,37.15,0.17,0.06,,10.29,8.84,,11.66,6.25,,,8.84,169.0,8.0,,,129.0,2.13,TRGB
NGC0059,0,15,25.1,-,21,26,38,2.29,0.48,0.09,,16.25,12.97,,17.26,10.1,,,15.94,50.0,-3.0,dEem,N,361.0,5.3,SBF
ESO410-005,0,15,31.4,-,32,10,48,1.62,0.77,0.06,,18.41,14.9,>,25.92,12.5,*,,17.48,23.0,10.0,Tr,N,36.0,1.92,TRGB
And XIX,0,19,32.1,+,35,2,37,6.2,0.83,0.27,>,23.0,16.8,,,12.45,*,,,,-3.0,Sph,X,-111.0,0.93,TRGB
IC0010,0,20,24.5,+,59,17,30,6.76,0.87,3.65,,,11.78,,12.38,6.51,,,9.94,62.0,10.0,Ir,N,-346.0,0.66,Cep
And XXVI,0,23,45.6,+,47,54,58,1.6,0.75,0.46,>,23.0,18.4,,,13.88,*,,,,-3.0,Sph,X,-261.0,0.76,HB
Sc22,0,23,51.7,-,24,42,18,0.93,0.78,0.07,,22.75,17.73,>,25.92,13.57,*,>,21.5,,-3.0,Sph,L,,4.21,TRGB
Cetus,0,26,11.0,-,11,2,40,4.79,0.67,0.12,>,23.0,14.4,>,22.12,10.19,*,>,19.84,,-1.0,Tr,L,-87.0,0.78,TRGB
ESO294-010,0,26,33.3,-,41,51,20,1.51,0.64,0.02,,18.06,15.53,,21.05,14.08,,,18.56,23.0,10.0,Tr,N,107.0,1.92,TRGB
UGC00288,0,29,4.0,+,43,25,54,1.07,0.62,0.33,,17.57,15.64,,19.67,12.99,*,,15.78,36.0,10.0,Ir,N,187.0,6.73,BS
And XXV,0,30,8.9,+,46,51,7,4.8,0.75,0.42,>,23.0,15.9,,,11.42,*,,,,-3.0,Sph,X,-108.0,0.81,HB
ESO473-024,0,31,22.5,-,22,45,57,1.55,0.59,0.08,,16.92,16.38,,19.06,13.96,*,,15.37,48.0,10.0,Ir,N,530.0,9.9,TF
NGC0147,0,33,11.6,+,48,30,28,13.49,0.61,0.75,>,23.0,10.36,,24.43,7.2,,>,20.87,,-3.0,Sph,N,-193.0,0.76,TRGB
And III,0,35,33.8,+,36,29,52,3.63,0.48,0.1,>,23.0,15.2,,23.76,11.01,*,>,16.33,,-3.0,Sph,L,-346.0,0.75,TRGB
And XXX,0,36,34.9,+,49,38,48,,,0.71,,,,,,,*,,,,,,,-141.0,0.68,TRGB
And XVII,0,37,7.0,+,44,19,20,1.9,0.8,0.32,,21.19,17.7,,,13.31,*,>,16.34,,-2.0,Sph,X,-251.0,0.74,HB
And XXVII,0,37,27.1,+,45,23,13,2.8,0.6,0.34,>,23.0,17.6,,,13.19,*,,,,-3.0,Sph,X,-535.0,0.83,HB
NGC0185,0,38,58.0,+,48,20,10,12.3,0.85,0.79,,,9.99,,20.17,6.56,,,17.23,36.0,-3.0,dE,N,-203.0,0.61,TRGB
NGC0205,0,40,22.5,+,41,41,11,19.5,0.61,0.27,,14.99,8.72,>,27.87,5.59,,,16.41,42.0,-2.0,dE,N,-221.0,0.82,TRGB
And IV,0,42,30.1,+,40,34,33,1.0,0.77,0.27,,17.89,17.18,,21.06,14.54,*,,14.02,90.0,10.0,Ir,L,237.0,6.31,TRGB
MESSIER032,0,42,42.1,+,40,51,59,8.91,0.71,0.26,,16.27,8.89,,23.24,5.1,,>,14.27,,-2.0,dEem,H,-202.0,0.49,TRGB
MESSIER031,0,42,44.5,+,41,16,9,190.55,0.33,0.27,,,4.29,,13.81,0.99,,,5.95,510.0,3.0,,,-296.0,0.77,Cep
DDO226,0,43,3.8,-,22,15,1,2.24,0.36,0.07,,16.69,14.9,,19.26,12.48,,,15.47,37.0,10.0,Ir,N,359.0,4.92,TRGB
And I,0,45,40.0,+,38,2,14,2.88,0.78,0.23,,22.11,13.9,,24.61,9.59,*,>,16.32,,-3.0,Sph,L,-376.0,0.73,TRGB
And XI,0,46,20.0,+,33,48,5,1.1,0.85,0.35,,21.23,18.5,,,14.08,*,>,16.33,,-3.0,Sph,X,-419.0,0.73,RR
NGC0247,0,47,8.3,-,20,45,36,25.12,0.32,0.08,,11.53,9.86,,13.16,7.43,,,10.74,207.0,7.0,,,161.0,3.65,TRGB
And XII,0,47,27.0,+,34,22,29,1.9,0.9,0.49,>,23.0,18.7,,,14.15,*,>,16.33,,-3.0,Sph,X,-556.0,0.83,TRGB
NGC0253,0,47,34.3,-,25,17,32,37.15,0.22,0.08,,11.31,7.92,,11.84,3.77,,,10.94,407.0,5.0,,,243.0,3.94,TRGB
KDG002,0,49,21.1,-,18,4,28,1.23,0.92,0.1,,19.47,16.37,>,25.92,13.93,*,,18.61,26.0,10.0,Tr,L,224.0,3.4,TRGB
DDO006,0,49,49.3,-,21,0,58,2.29,0.41,0.07,,16.91,15.3,,20.55,13.26,,,15.86,19.0,10.0,Ir,N,292.0,3.34,TRGB
ESO540-032,0,50,24.6,-,19,54,25,1.51,0.92,0.09,,19.7,16.44,,24.1,14.01,*,,18.55,17.0,10.0,Ir,L,228.0,3.42,TRGB
Bol520,0,50,42.4,+,32,54,59,0.2,0.89,0.37,,21.9,16.28,,,13.31,,,,,-3.0,dE,H,-312.0,0.63,TRGB
And XIV,0,51,35.0,+,29,41,49,2.7,0.68,0.26,>,23.0,16.9,,,12.56,*,>,16.34,,-3.0,Sph,X,-481.0,0.73,TRGB
And XIII,0,51,51.0,+,33,0,16,1.3,0.75,0.35,>,23.0,18.2,,,13.78,*,>,16.33,,-3.0,Sph,X,-195.0,0.84,RR
SMC,0,52,38.0,-,72,48,1,380.19,0.64,0.17,,,2.7,,7.97,0.16,*,,3.2,90.0,9.0,Im,N,158.0,0.06,Cep
And IX,0,52,52.8,+,43,12,0,4.0,0.75,0.33,,22.62,16.7,,25.63,12.3,*,>,16.32,,-3.0,Sph,X,-216.0,0.79,TRGB
NGC0300,0,54,53.5,-,37,40,57,25.7,0.71,0.06,,10.34,8.95,,13.66,6.38,,,9.12,147.0,7.0,,,146.0,2.15,Cep
And XVI,0,59,29.8,+,32,22,36,1.78,0.9,0.29,,20.63,15.7,,,11.33,*,>,16.34,,-3.0,Sph,L,-385.0,0.52,TRGB
Sculptor,1,0,9.4,-,33,42,33,39.81,0.68,0.05,,22.09,10.05,,,5.9,*,>,12.12,,-3.0,Sph,X,105.0,0.09,TRGB
LGS 3,1,3,55.0,+,21,53,6,2.4,0.58,0.18,,19.46,15.0,>,26.11,12.49,*,,17.35,18.0,10.0,Tr,L,-286.0,0.65,TRGB
IC1613,1,4,47.8,+,2,8,0,19.05,0.9,0.11,,11.64,9.88,,14.86,7.43,*,,10.71,27.0,10.0,Ir,N,-232.0,0.73,Cep
And X,1,6,33.7,+,44,48,16,2.1,0.56,0.55,>,23.0,16.7,,21.9,12.1,*,>,16.34,,-3.0,Sph,X,-164.0,0.63,HB
UGC00685,1,7,22.3,+,16,41,2,2.4,0.71,0.25,,16.51,14.22,,17.97,11.64,*,,14.75,64.0,9.0,BCD,N,156.0,4.51,TRGB
KKH5,1,7,32.5,+,51,26,25,0.87,0.62,1.22,,,17.1,,19.63,13.63,*,,16.8,37.0,10.0,Ir,L,61.0,4.27,TRGB
AM0106-382,1,8,22.0,-,38,12,33,0.72,0.56,0.05,,17.37,16.26,,19.23,13.86,*,,16.45,38.0,10.0,Ir,N,645.0,8.2,TF
NGC0404,1,9,26.9,+,35,43,3,3.47,0.95,0.25,,15.42,11.21,,15.08,7.53,,,13.43,79.0,-1.0,S0em,N,-50.0,3.05,TRGB
And V,1,10,17.1,+,47,37,41,2.4,0.82,0.54,,,15.92,,24.41,11.33,*,>,16.34,,-3.0,Sph,L,-403.0,0.81,TRGB
And XV,1,14,18.7,+,38,7,3,1.9,0.85,0.2,,,15.9,,,11.62,*,>,16.32,,-3.0,Sph,L,-323.0,0.76,TRGB
And II,1,16,29.8,+,33,25,9,2.82,0.8,0.27,,21.67,15.1,,24.59,10.75,*,>,16.31,,-3.0,Sph,L,-194.0,0.65,TRGB
And XXIV,1,18,30.0,+,46,21,58,3.3,0.75,0.35,,,17.2,,,12.78,*,,,,-3.0,Sph,X,-128.0,0.6,HB
And XXII,1,27,40.0,+,28,5,25,1.4,0.44,0.33,,22.43,18.8,,,14.4,*,,,,-3.0,Sph,X,-127.0,0.79,TRGB
UGC01056,1,28,47.2,+,16,41,17,1.0,0.68,0.31,,17.24,14.81,,18.17,12.0,,,16.05,42.0,9.0,Im,N,595.0,7.3,mem
And XXIII,1,29,21.8,+,38,43,8,7.3,0.6,0.28,,,15.1,,,10.74,*,,,,-3.0,Sph,X,-243.0,0.73,TRGB
UGC01104,1,32,42.3,+,18,18,57,1.78,0.6,0.27,,16.12,14.48,,18.25,11.81,,,15.17,83.0,9.0,BCD,N,688.0,7.55,BS
MESSIER033,1,33,50.8,+,30,39,37,69.18,0.61,0.18,,8.21,6.27,,12.2,4.1,,,7.17,181.0,5.0,,,-182.0,0.85,Cep
KKH6,1,34,51.6,+,52,5,30,0.87,0.6,1.52,>,23.0,17.0,,20.82,13.73,,,17.11,28.0,10.0,Ir,N,60.0,3.73,TRGB
NGC0625,1,35,5.0,-,41,26,11,7.08,0.28,0.07,,13.9,11.59,,14.69,8.9,,,13.85,75.0,8.0,,,395.0,3.89,TRGB
NGC0628,1,36,41.3,+,15,47,12,11.22,0.94,0.3,,12.24,9.79,,13.63,6.85,,,11.54,53.0,5.0,,,657.0,7.31,BS
UGC01171,1,39,41.6,+,15,54,11,1.29,0.92,0.25,,18.77,15.71,,22.97,13.13,*,,15.02,25.0,10.0,Ir,N,738.0,7.38,BS
DDO013,1,40,9.6,+,15,54,17,4.57,0.78,0.28,,15.97,14.37,,17.66,11.76,*,,13.97,35.0,10.0,Ir,L,631.0,9.04,BS
AGC112521,1,41,7.9,+,27,19,26,0.6,0.55,0.27,,21.08,17.8,,23.38,15.2,*,,17.88,26.0,10.0,Ir,L,274.0,6.52,h
KK13,1,42,16.8,+,26,22,4,0.71,0.57,0.39,,19.01,16.57,,20.78,13.86,*,,17.12,31.0,10.0,Ir,N,357.0,7.2,mem
KDG010,1,43,41.4,+,15,41,23,1.45,0.67,0.32,,19.78,16.28,,20.02,13.64,*,,16.02,32.0,10.0,Ir,L,789.0,7.87,BS
KK14,1,44,42.7,+,27,17,16,0.79,0.37,0.31,,19.14,17.47,,21.97,14.84,*,,16.22,28.0,10.0,Ir,L,420.0,7.2,mem
ESO245-005,1,45,3.6,-,43,35,53,3.8,0.89,0.07,,13.77,12.7,,16.18,10.26,,,12.62,60.0,9.0,Im,N,393.0,4.43,TRGB
KK15,1,46,41.6,+,26,48,5,0.59,0.33,0.36,,19.88,18.22,,22.66,15.54,*,,17.5,22.0,10.0,Ir,L,366.0,7.2,mem
IC1727,1,47,30.1,+,27,19,52,6.92,0.36,0.34,,14.1,12.07,,16.2,8.97,*,,12.94,129.0,8.0,,,336.0,7.2,BS
NGC0672,1,47,53.2,+,27,26,1,7.24,0.36,0.34,,13.86,11.31,,15.25,8.51,,,12.05,205.0,6.0,,,429.0,7.2,BS
UGC01281,1,49,32.3,+,32,35,33,5.62,0.18,0.2,,15.47,12.87,,17.52,10.5,,,13.75,123.0,7.0,,,157.0,4.94,TRGB
Phoenix,1,51,6.3,-,44,26,41,5.5,0.85,0.07,,16.37,13.72,,,11.31,*,>,16.0,,10.0,Tr,L,-52.0,0.44,HB
KK16,1,55,20.6,+,27,57,15,1.32,0.37,0.29,,18.75,16.3,,21.3,13.68,*,,17.42,24.0,10.0,Ir,N,207.0,5.47,TRGB
KK17,2,0,9.9,+,28,49,57,1.0,0.5,0.24,,19.69,17.2,,21.27,14.24,,,17.44,20.0,10.0,Ir,L,168.0,4.9,TRGB
NGC0784,2,1,16.8,+,28,50,37,6.61,0.23,0.26,,14.42,12.22,,16.24,10.29,,,13.16,88.0,8.0,,,193.0,4.97,TRGB
UGC1561,2,4,5.0,+,24,12,28,2.34,0.86,0.36,,17.19,14.51,,,11.83,*,,16.04,39.0,9.0,BCD,N,606.0,7.2,TF
Cas1,2,6,7.9,+,69,0,36,2.19,0.77,4.4,,,15.29,,17.16,9.34,,,13.15,50.0,10.0,Ir,N,35.0,3.3,mem
UGC01703,2,12,55.8,+,32,48,51,0.79,0.55,0.42,>,23.0,17.0,,24.29,12.52,*,>,18.2,,-2.0,Tr,N,,4.19,SBF
NGC0855,2,14,3.7,+,27,52,38,3.09,0.38,0.31,,16.52,13.3,,16.7,9.83,,,14.64,94.0,0.0,dS0em,N,591.0,9.73,SBF
Segue 2,2,19,16.0,+,20,10,31,5.4,0.85,0.81,,21.01,16.2,,,11.36,*,,,,-3.0,Sph,X,-39.0,0.03,TRGB
NGC0891,2,22,32.8,+,42,20,48,13.18,0.29,0.28,,15.15,10.71,,15.56,5.94,,,11.68,456.0,3.0,,,526.0,9.77,SBF
KKH11,2,24,35.0,+,56,0,42,1.66,0.54,2.13,,,16.2,,19.11,11.74,,,14.06,84.0,10.0,Ir,N,296.0,3.0,mem
[KK2000] 03,2,24,42.7,-,73,30,46,2.45,0.4,0.22,>,23.0,16.0,,,10.83,,>,18.2,,-3.0,Tr,L,,4.1,mem
DDO019,2,25,0.2,+,36,2,16,2.14,0.76,0.3,,16.62,15.8,,18.19,13.14,*,,14.87,87.0,10.0,Ir,L,577.0,9.3,mem
d0226+3325,2,26,52.8,+,33,25,37,1.66,0.92,0.32,,,17.5,,25.32,14.86,*,,15.67,40.0,10.0,Ir,X,520.0,9.3,mem
NGC0925,2,27,16.0,+,33,34,41,11.75,0.56,0.33,,12.72,10.58,,14.11,7.87,,,11.73,203.0,7.0,,,553.0,9.29,Cep
Halogas,2,27,20.0,+,33,57,30,0.43,0.75,0.33,,19.99,18.0,,,15.35,*,,17.87,28.0,10.0,Ir,L,528.0,9.3,mem
KKH12,2,27,27.0,+,57,29,16,1.7,0.29,3.44,,,17.8,,19.13,11.79,,,15.13,48.0,10.0,Ir,L,70.0,3.0,mem
DDO022,2,32,54.0,+,38,40,50,1.74,0.31,0.21,,18.3,15.65,,19.64,13.11,*,,15.54,52.0,10.0,Ir,N,570.0,9.3,mem
DDO025,2,33,18.2,+,33,29,28,2.57,0.92,0.41,,15.9,13.96,,17.5,10.98,*,,14.65,36.0,8.0,,,604.0,9.3,mem
DDO024,2,33,43.0,+,40,31,41,2.62,0.81,0.24,,,13.68,,18.42,10.86,*,,13.97,48.0,8.0,,,581.0,9.8,mem
MB1,2,35,35.6,+,59,22,47,1.07,0.42,4.22,,,17.8,,19.79,10.46,,,15.05,50.0,10.0,Ir,L,190.0,3.0,mem
Maffei1,2,36,35.5,+,59,39,18,2.69,0.85,5.05,,,13.47,>,21.4,5.55,,,,,-3.0,,,66.0,3.01,FP
ESO115-021,2,37,45.0,-,61,20,28,7.24,0.14,0.11,,14.83,13.34,,16.63,9.97,,,12.91,121.0,7.0,,,515.0,4.99,TRGB
Fornax,2,39,54.7,-,34,31,33,17.78,0.7,0.05,,20.68,9.28,,,5.13,*,>,13.58,,-3.0,Sph,L,29.0,0.14,TRGB
Maffei2,2,41,54.5,+,59,36,11,3.8,0.5,7.19,,,14.77,,17.32,4.5,,,11.12,306.0,4.0,,,-15.0,2.8,TF
UGC02172,2,42,10.8,+,43,21,19,1.41,0.61,0.45,,,14.6,,,12.37,,,15.99,60.0,10.0,Ir,N,565.0,9.3,TF
AGC122226,2,46,38.9,+,27,43,35,0.85,0.55,0.53,,,17.08,,19.27,14.25,*,,16.62,29.0,9.0,BCD,N,472.0,8.56,TF
Dw2,2,54,8.5,+,59,0,19,1.0,0.4,5.13,,,17.97,,20.16,10.22,,,13.2,100.0,10.0,Ir,N,94.0,3.0,mem
MB3,2,55,43.6,+,58,51,42,1.58,0.31,5.64,,,19.38,>,24.39,10.93,,,13.77,15.0,10.0,Ir,N,59.0,3.0,mem
ESO154-023,2,56,50.4,-,54,34,23,8.32,0.18,0.07,,13.93,12.71,,16.14,9.81,*,,11.83,122.0,8.0,,,574.0,5.55,TRGB
Dw1,2,56,56.1,+,58,54,42,2.0,0.65,6.34,,,15.01,,17.3,5.17,*,,11.72,187.0,3.0,,,112.0,2.8,TF
ESO199-007,2,58,4.1,-,49,22,57,1.07,0.4,0.09,,17.8,16.44,,,14.01,*,,16.61,55.0,10.0,Ir,N,630.0,6.56,h
NGC1156,2,59,42.4,+,25,14,15,3.31,0.85,0.97,,14.5,12.32,,15.01,9.55,,,13.23,68.0,8.0,,,373.0,7.8,BS
LV J0300+2546,3,0,39.3,+,25,46,56,0.35,0.87,1.37,,22.57,18.1,,21.73,14.5,*,,19.8,19.0,10.0,Ir,N,308.0,7.8,mem
KKH18,3,3,5.9,+,33,41,40,0.71,0.57,0.86,,18.43,16.7,,20.69,13.56,*,,16.39,34.0,10.0,Ir,N,216.0,4.43,TRGB
ESO300-014,3,9,37.8,-,41,1,50,7.08,0.52,0.07,,15.03,13.06,,17.43,10.0,,,14.15,130.0,8.0,,,955.0,9.8,TF
ESO300-016,3,10,10.5,-,40,0,11,1.45,0.72,0.08,,17.44,15.57,,20.51,13.15,*,,15.9,37.0,10.0,Ir,N,710.0,8.8,TF
NGC1291,3,17,18.6,-,41,6,29,14.45,0.92,0.06,,14.31,9.42,,14.58,5.66,,,13.1,40.0,1.0,,,838.0,8.8,mem
NGC1313,3,18,15.4,-,66,29,51,12.59,0.8,0.47,,11.49,9.66,,12.98,7.57,,,10.77,167.0,7.0,,,470.0,4.07,TRGB
NGC1311,3,20,7.4,-,52,11,6,4.68,0.25,0.09,,15.02,13.4,,16.46,10.92,,,14.44,82.0,8.0,,,571.0,5.2,TRGB
UGC02684,3,20,23.7,+,17,17,42,1.95,0.5,0.6,,17.83,16.29,,20.28,13.46,,,15.1,79.0,10.0,Ir,N,350.0,6.49,BS
KK27,3,21,3.0,-,66,19,11,1.17,0.33,0.33,,19.88,16.5,,,13.85,*,,19.15,10.0,10.0,Ir,L,533.0,3.98,TRGB
UGC02716,3,24,7.2,+,17,45,15,1.58,0.56,0.59,,17.07,14.64,,18.81,11.5,,,15.67,44.0,8.0,,,381.0,6.4,h
UGC02773,3,32,7.1,+,47,47,37,1.2,0.75,2.43,,,15.0,,15.94,9.77,,,13.93,81.0,9.0,Im,N,216.0,5.4,h
IC1959,3,33,11.8,-,50,24,38,4.07,0.23,0.05,,14.47,13.2,,16.39,11.04,,,13.83,128.0,8.0,,,640.0,6.05,TRGB
PGC013294,3,35,56.8,-,45,11,29,0.62,0.8,0.05,,17.61,16.13,,,13.73,*,>,17.4,,10.0,Ir,N,744.0,7.98,h
NGC1400,3,39,30.8,-,18,41,17,3.47,0.87,0.28,,17.5,11.92,,,7.81,,,,,-3.0,,,569.0,24.5,SBF
KKH22,3,44,56.6,+,72,3,52,1.05,0.52,1.66,>,23.0,18.0,,,14.13,*,>,17.4,,10.0,Tr,L,,3.5,mem
KK35,3,45,12.6,+,67,51,50,2.51,0.68,2.5,,19.07,15.7,,16.69,11.06,*,,,,10.0,Ir,N,-66.0,3.16,TRGB
IC0342,3,46,48.9,+,68,5,45,21.38,0.91,2.41,,12.81,9.37,,13.68,4.57,,,8.01,181.0,6.0,,,29.0,3.28,Cep
UGC02905,3,57,0.6,+,16,31,28,1.0,0.6,1.35,,18.72,15.76,,19.84,12.17,,,15.76,41.0,10.0,Ir,N,292.0,5.83,BS
UGCA086,3,59,49.5,+,67,7,31,4.47,0.69,4.06,,,13.5,,16.21,8.17,,,,,8.0,,,72.0,2.96,TRGB
IC2038,4,8,54.1,-,55,59,32,2.09,0.24,0.05,,17.16,14.98,,,12.0,,,,,7.0,,,712.0,19.2,TF
NGC1533,4,9,51.8,-,56,7,6,3.55,0.82,0.07,,16.96,11.79,,16.06,7.63,,,12.87,250.0,1.0,,,785.0,19.4,SBF
ESO483-013,4,12,41.1,-,23,9,32,1.58,0.54,0.22,,16.21,14.06,,17.84,10.84,,,16.11,74.0,9.0,BCD,N,898.0,7.4,TF
CamA,4,25,15.6,+,72,48,21,3.72,0.57,0.93,,20.08,14.84,,19.35,11.64,*,,13.25,38.0,10.0,Ir,L,-54.0,3.93,TRGB
NGC1592,4,29,40.8,-,27,24,31,1.41,0.48,0.15,,14.36,14.45,,,12.66,,,15.64,73.0,10.0,Ir,N,945.0,9.1,TF
NGC1569,4,30,49.1,+,64,50,53,3.98,0.51,2.38,,15.6,11.79,,12.84,7.5,,,12.59,101.0,8.0,,,-86.0,3.06,TRGB
UGCA092,4,32,0.3,+,63,36,50,2.0,0.5,3.42,,,15.22,,17.11,11.0,,,12.79,56.0,10.0,Ir,L,-95.0,3.01,TRGB
NGC1560,4,32,49.9,+,71,52,52,9.77,0.15,0.81,,14.73,12.11,,15.35,9.26,,,10.94,119.0,7.0,,,-36.0,3.45,TRGB
NGC1637,4,41,28.2,-,2,51,29,4.37,0.79,0.17,,,11.47,,15.01,7.98,,,13.14,188.0,6.0,,,713.0,9.29,SN
CamB,4,53,6.9,+,67,5,57,1.48,0.5,0.94,,,16.71,,20.27,13.36,,,15.74,21.0,10.0,Ir,L,78.0,3.34,TRGB
NGC1705,4,54,13.7,-,53,21,41,2.24,0.74,0.03,,13.4,12.77,,15.11,10.52,,,14.46,111.0,9.0,BCD,N,628.0,5.11,TRGB
HIPASS J0457-42,4,56,58.7,-,42,48,14,1.41,0.37,0.06,,,14.46,,18.69,12.06,*,,14.8,58.0,10.0,Ir,N,657.0,7.2,TF
