Name,RAh,RAm,RAs,DE,DEd,DEm,DEs,a26,b_a,AB,l_FUVmag,FUVmag,Bmag,l_Hamag,Hamag,Kmag,f_Kmag,l_21mag,21mag,W50,TType,Tdw1,Tdw2,RVel,Dis,f_Dis
NGC3037,9,51,24.0,-,27,0,40,1.29,0.87,0.39,,15.9,13.64,,16.76,11.12,,,14.59,91.0,8.0,,,887.0,8.1,h
BK3N,9,53,48.5,+,68,58,9,0.32,0.8,0.35,,19.45,18.78,,25.17,16.11,*,,15.7,15.0,10.0,Ir,N,-40.0,4.02,TRGB
LV J0954+3620,9,54,50.6,+,36,20,2,0.34,0.67,0.04,,19.82,17.93,,,15.54,*,,18.78,35.0,10.0,Ir,N,503.0,15.4,TF
KKSG15,9,55,10.5,-,6,16,12,1.29,0.23,0.18,,18.0,15.14,,20.77,12.63,*,,16.33,54.0,10.0,Ir,N,791.0,9.7,mem
[CKT2009]d0955+70,9,55,13.6,+,70,24,29,0.35,0.87,0.64,>,23.0,19.5,,,14.81,*,,,,-3.0,Sph,X,,3.93,TRGB
MESSIER081,9,55,33.5,+,69,4,0,28.18,0.52,0.36,,11.45,7.79,,12.13,3.83,,,10.03,423.0,3.0,,,-38.0,3.63,Cep
MESSIER082,9,55,53.9,+,69,40,57,11.48,0.38,0.69,,13.91,9.06,,11.58,4.67,,,11.19,147.0,8.0,,,183.0,3.53,TRGB
LV J0956-0929,9,56,37.6,-,9,29,11,0.93,0.73,0.28,,19.09,15.89,,20.83,13.28,*,>,17.4,,9.0,BCD,N,627.0,5.18,h
DDO068,9,56,45.7,+,28,49,30,2.0,0.37,0.08,,15.22,14.77,,18.16,12.82,,,13.97,74.0,10.0,Ir,N,503.0,9.8,TF
KDG061,9,57,2.7,+,68,35,30,1.41,0.58,0.31,,22.41,15.24,,19.75,10.86,*,,,,-1.0,Sph,N,221.0,3.6,TRGB
ClumpI,9,57,21.2,+,68,42,55,0.18,0.72,0.31,>,23.0,19.8,>,23.96,17.17,*,,,,10.0,Ir,N,-165.0,3.6,mem
A0952+69,9,57,29.0,+,69,16,20,1.82,0.53,0.37,,18.02,16.8,,20.0,14.11,*,,16.26,48.0,10.0,Ir,L,99.0,3.87,TRGB
HolmIX,9,57,32.4,+,69,2,35,2.63,0.8,0.35,,15.63,14.53,,19.04,11.86,*,,12.63,50.0,10.0,Ir,N,50.0,3.61,TRGB
[CKT2009]d0958+66,9,58,48.5,+,66,50,59,0.87,0.58,0.26,,18.82,16.0,,,13.41,*,,19.07,22.0,9.0,BCD,N,90.0,4.04,TRGB
LeoA,9,59,26.4,+,30,44,47,5.75,0.61,0.09,,14.7,12.92,,18.46,10.49,*,,12.76,19.0,10.0,Ir,N,24.0,0.81,TRGB
[CKT2009]d0959+68,9,59,33.1,+,68,39,25,0.79,0.7,0.32,,19.85,18.0,,21.33,15.36,*,,,,10.0,Ir,L,-186.0,3.6,mem
KKSG16,9,59,47.5,-,9,20,36,0.87,0.78,0.31,>,23.0,18.0,,,13.62,*,>,18.2,,-3.0,Sph,L,,9.7,mem
SexB,10,0,0.1,+,5,19,56,6.03,0.69,0.14,,13.92,11.85,,16.86,9.5,,,12.33,38.0,10.0,Ir,N,300.0,1.36,TRGB
KKH57,10,0,16.0,+,63,11,6,0.6,0.83,0.09,>,23.0,17.87,,24.25,13.69,*,>,20.0,,-3.0,Sph,L,,3.91,TRGB
LV J1000+5022,10,0,25.5,+,50,22,45,0.58,0.76,0.05,,,17.1,,,14.7,*,,,,9.0,Im,N,538.0,7.97,h
LV J1000+3032,10,0,36.5,+,30,32,10,0.28,0.71,0.08,,19.84,18.06,,,15.64,*,,19.26,20.0,10.0,Ir,N,501.0,7.1,TF
ClumpIII,10,0,40.4,+,68,39,37,0.1,0.95,0.31,>,23.0,19.8,,22.21,17.17,*,,,,10.0,Ir,L,-121.0,3.6,mem
MCG -01-26-009,10,1,33.6,-,6,31,30,1.12,0.78,0.15,,17.97,16.1,,19.6,13.61,*,,16.49,38.0,10.0,Ir,N,748.0,9.7,mem
KKSG17,10,1,38.4,-,8,14,56,1.66,0.21,0.26,,18.43,15.41,,21.66,12.82,*,,16.46,49.0,10.0,Ir,N,446.0,9.7,mem
UGCA193,10,2,36.2,-,6,0,43,4.27,0.07,0.17,,16.61,14.67,,18.72,12.0,,,14.4,123.0,7.0,,,663.0,9.7,mem
NGC3109,10,3,7.2,-,26,9,36,19.95,0.19,0.29,,11.98,10.39,,14.11,7.5,,,10.51,117.0,8.0,,,403.0,1.32,TRGB
NGC3077,10,3,21.0,+,68,44,2,6.46,0.83,0.29,,14.19,10.62,,14.55,7.32,,,11.76,70.0,9.0,dEem,N,19.0,3.82,TRGB
GARLAND,10,3,42.0,+,68,41,36,3.98,0.6,0.29,,17.03,16.8,,17.3,14.18,*,>,14.88,,10.0,Ir,X,43.0,3.82,TRGB
ESO499-038,10,3,50.2,-,26,36,46,0.83,0.55,0.3,,16.81,15.68,,,13.06,*,,14.94,77.0,10.0,Ir,N,885.0,15.3,TF
NGC3104,10,3,57.4,+,40,45,25,3.55,0.56,0.06,,14.57,13.97,,16.84,11.24,*,,14.25,102.0,8.0,,,603.0,16.0,TF
Antlia,10,4,4.0,-,27,19,55,2.0,0.75,0.34,,17.1,16.19,,,12.73,,,16.63,22.0,10.0,Tr,L,362.0,1.32,TRGB
BK5N,10,4,40.3,+,68,15,20,0.79,0.75,0.25,,23.76,17.53,,24.61,13.2,*,,,,-3.0,Sph,L,,3.78,TRGB
UGC05427,10,4,41.0,+,29,21,59,1.38,0.67,0.1,,16.4,14.89,,18.94,12.2,,,16.42,71.0,8.0,,,498.0,7.11,BS
KDG063,10,5,7.3,+,66,33,18,1.91,0.88,0.41,>,23.0,16.01,,22.18,11.53,*,,16.27,19.0,-3.0,Tr,L,-129.0,3.5,TRGB
NGC3115,10,5,14.0,-,7,43,7,8.51,0.35,0.2,,16.09,9.87,>,24.11,5.88,,,13.89,238.0,-1.0,,,681.0,9.68,SBF
UGC05423,10,5,30.6,+,70,21,52,1.07,0.67,0.34,,17.23,14.42,,18.35,11.99,,,15.92,44.0,10.0,Ir,N,348.0,8.71,TRGB
KDG065,10,5,34.4,-,7,44,57,1.07,0.69,0.03,,23.16,16.36,,,12.23,*,,,,-3.0,Sph,L,721.0,9.7,mem
KKSG18,10,5,41.6,-,7,58,53,1.51,0.8,0.23,,19.4,13.61,,,10.05,,,,,9.0,BCD,N,698.0,9.7,mem
[CKT2009]d1006+67,10,6,46.2,+,67,12,4,0.32,0.97,0.31,>,23.0,19.7,,,15.32,*,,,,-3.0,Sph,X,,3.87,TRGB
KDG064,10,7,1.9,+,67,49,39,1.95,0.47,0.25,,24.07,15.52,,22.91,11.19,*,,,,-3.0,Tr,L,-15.0,3.7,TRGB
Segue 1,10,7,3.2,+,16,4,25,7.0,0.52,0.14,,,16.21,,,11.98,*,>,19.84,,-3.0,Sph,X,206.0,0.02,CMD
UGC05456,10,7,19.7,+,10,21,44,1.62,0.5,0.18,,15.31,13.84,,17.16,11.63,,,15.3,62.0,9.0,Im,N,527.0,5.6,TRGB
KKH58,10,7,22.7,+,38,58,11,1.26,0.48,0.06,,16.43,15.61,,17.94,12.94,*,,15.99,83.0,8.0,,,587.0,18.4,TF
IKN,10,8,5.9,+,68,23,57,2.69,0.85,0.26,>,23.0,16.5,,24.1,12.16,*,>,18.2,,-3.0,Sph,X,-140.0,3.75,TRGB
LeoI,10,8,26.9,+,12,18,29,9.77,0.79,0.16,,,11.18,,,6.93,*,>,19.87,,-1.0,Sph,L,283.0,0.25,TRGB
[CKT2009]d1009+70,10,9,34.9,+,70,32,55,0.72,0.85,0.59,,21.08,18.0,,,13.36,*,,,,-1.0,Sph,L,,9.0,TRGB
SexA,10,11,0.8,-,4,41,34,5.89,0.83,0.19,,12.91,11.86,,15.53,10.18,,,11.88,46.0,10.0,Ir,N,324.0,1.32,Cep
UGC05497,10,12,48.4,+,64,6,27,0.89,0.74,0.08,,18.01,15.6,,,13.18,*,,18.63,16.0,9.0,BCD,N,150.0,3.7,TRGB
SexDSph,10,13,3.0,-,1,36,52,30.2,0.65,0.21,,21.54,11.3,,,7.01,*,>,19.85,,-3.0,Sph,X,227.0,0.09,TRGB
[CKT2009]d1014+68,10,14,55.8,+,68,45,27,0.2,0.9,0.2,,22.08,20.2,,,15.92,*,>,19.53,,-1.0,Tr,X,,4.57,TRGB
[CKT2009]d1015+69,10,15,6.9,+,69,2,15,0.25,0.98,0.21,,23.88,20.5,,,16.21,*,,,,-1.0,Tr,X,,4.07,TRGB
KUG 1013+414,10,16,15.6,+,41,9,59,1.13,0.39,0.08,,18.25,15.4,,,12.73,*,,,,8.0,,,518.0,11.12,mem
NGC3184,10,18,17.0,+,41,25,28,7.41,0.93,0.07,,12.53,10.36,,14.16,7.23,,,12.87,128.0,6.0,,,592.0,11.12,SN
LV J1018+4109,10,18,22.2,+,41,9,57,0.38,0.86,0.06,>,23.0,18.4,,,14.25,*,,,,-1.0,Sph,L,,11.1,mem
HIJASS J1021+6842,10,21,0.2,+,68,42,0,,,0.09,,,,,22.03,,*,,14.9,50.0,11.0,Ir,X,46.0,3.7,mem
HS117,10,21,25.2,+,71,6,58,1.51,0.6,0.49,,21.68,17.3,,24.1,14.5,*,,21.3,13.0,10.0,Tr,L,-37.0,3.96,TRGB
LV J1021+0054,10,21,38.9,+,0,54,0,0.42,0.73,0.23,,18.51,17.5,,,14.94,*,>,17.4,,10.0,Ir,N,701.0,6.78,h
LeoP,10,21,45.1,+,18,5,17,0.55,0.54,0.11,,,17.2,,,14.75,*,,17.7,16.0,10.0,Ir,N,262.0,2.0,txt
AGC731448,10,23,45.0,+,27,6,39,0.48,0.66,0.12,,18.46,16.6,,,14.14,*,,17.47,39.0,9.0,BCD,N,540.0,13.5,TF
KKSG19,10,24,28.3,-,12,25,57,0.69,0.86,0.3,>,23.0,16.79,,,14.17,*,,16.36,30.0,10.0,Ir,L,628.0,5.11,h
NGC3239,10,25,4.9,+,17,9,49,5.01,0.61,0.14,,13.07,11.73,,14.66,9.0,,,13.1,160.0,8.0,,,754.0,7.9,TF
DDO078,10,26,27.9,+,67,39,24,2.0,0.95,0.12,,21.94,16.5,,24.25,12.29,*,,,,-3.0,Sph,L,55.0,3.72,TRGB
UGC05672,10,28,20.9,+,22,34,17,3.09,0.28,0.1,,17.38,14.65,,19.06,11.55,,,15.33,82.0,8.0,,,531.0,11.4,TF
IC2574,10,28,22.4,+,68,24,58,13.18,0.41,0.16,,12.44,10.8,,14.43,7.95,*,,11.21,107.0,8.0,,,43.0,4.02,TRGB
LV J1028+4240,10,28,33.0,+,42,40,8,0.48,0.71,0.04,,18.1,17.4,,,15.01,*,,,,10.0,Ir,N,547.0,7.55,h
[CKT2009]d1028+70,10,28,39.7,+,70,14,1,0.71,0.77,0.17,,18.23,16.2,,,13.69,*,,18.44,20.0,10.0,Ir,N,-114.0,4.0,TRGB
AGC749315,10,29,6.4,+,26,54,38,0.11,0.86,0.1,,19.95,19.1,,,16.66,*,,18.57,31.0,9.0,BCD,N,645.0,21.5,TF
DDO082,10,30,35.0,+,70,37,10,3.39,0.59,0.19,,16.79,13.49,,18.27,10.29,,>,18.7,,9.0,Im,N,56.0,4.0,TRGB
LV J1030+0607,10,30,44.3,+,6,7,38,0.71,0.6,0.11,,18.44,16.8,,,14.35,*,,17.4,27.0,10.0,Ir,N,640.0,7.8,TF
AGC205156,10,30,52.9,+,12,26,48,0.16,0.95,0.13,,20.49,18.6,,,16.13,*,,18.78,21.0,9.0,BCD,N,915.0,10.43,TF
AGC731457,10,31,55.8,+,28,1,33,0.38,0.64,0.12,,18.09,16.8,,,14.34,*,,17.92,36.0,10.0,Ir,N,454.0,9.2,TF
NGC3274,10,32,17.1,+,27,40,7,2.4,0.48,0.1,,14.47,13.21,,16.16,10.74,,,13.45,160.0,7.0,,,541.0,7.98,BS
BK6N,10,34,31.9,+,66,0,42,1.1,0.64,0.05,>,23.0,16.9,,24.25,12.75,*,,,,-3.0,Sph,L,,3.85,TRGB
UMa I,10,34,52.8,+,51,55,12,18.0,0.2,0.08,>,23.0,15.29,,,11.12,*,>,16.33,,-3.0,Sph,X,-55.0,0.1,TRGB
AGC202248,10,34,56.1,+,11,29,32,0.37,0.74,0.08,,19.16,17.5,,,15.08,*,,17.97,62.0,10.0,Ir,N,1177.0,10.4,mem
ESO501-023,10,35,23.2,-,24,45,15,3.47,0.79,0.27,,14.72,13.2,,,10.34,*,,13.73,63.0,8.0,,,1042.0,7.0,TF
LeG03,10,35,48.8,+,8,28,47,0.95,0.23,0.11,,,17.3,,,14.6,*,,16.69,70.0,8.0,,,1158.0,10.4,mem
KUG 1033+366B,10,36,17.6,+,36,25,31,0.6,0.53,0.08,,18.51,17.0,,,14.58,*,,,,9.0,Im,N,620.0,8.1,h
NGC3299,10,36,23.8,+,12,42,27,2.4,0.77,0.11,,16.47,13.3,,17.56,10.97,,,15.73,112.0,8.0,,,604.0,10.4,mem
DDO083,10,36,43.3,+,31,32,48,2.04,0.4,0.09,,16.41,15.41,,18.74,13.41,,,14.63,106.0,10.0,Ir,N,582.0,10.9,txt
AGC205165,10,37,4.8,+,15,20,15,0.72,0.74,0.16,,18.89,16.4,,,13.9,*,,18.74,27.0,9.0,Im,N,724.0,10.4,mem
AGC200499,10,38,8.0,+,10,22,51,0.85,0.78,0.12,,,14.4,,,11.56,,,15.19,178.0,9.0,BCD,H,1175.0,10.4,mem
AGC208397,10,38,58.1,+,3,52,27,0.17,0.6,0.17,,20.88,19.7,,,17.19,*,,18.34,33.0,10.0,Ir,L,763.0,26.2,TF
UGC05797,10,39,25.2,+,1,43,7,1.23,0.87,0.14,,17.12,14.28,,19.33,11.81,,,15.92,48.0,9.0,BCD,N,710.0,7.0,h
LeG04,10,39,40.2,+,12,44,6,0.52,0.5,0.12,>,23.0,18.7,,,16.24,*,>,18.6,,10.0,Tr,L,,10.4,mem
LeG05,10,39,43.3,+,12,38,4,0.6,0.53,0.11,,20.72,16.77,,,14.32,*,,20.14,22.0,10.0,Tr,N,780.0,10.4,mem
LeG06,10,39,55.7,+,13,54,28,0.63,0.65,0.15,,21.2,18.3,,,15.81,*,,18.78,21.0,10.0,Ir,L,1007.0,10.4,mem
AGC208399,10,40,10.7,+,4,54,32,0.16,0.88,0.12,>,23.0,20.0,>,22.41,17.54,*,,17.34,23.0,10.0,Ir,L,747.0,20.9,TF
UGC05812,10,40,56.6,+,12,28,19,1.48,0.4,0.1,,17.89,15.5,,,12.81,*,,16.92,56.0,8.0,,,1008.0,10.4,mem
[CKT2009]d1041+70,10,41,16.8,+,70,9,3,0.35,0.6,0.29,>,23.0,19.6,,,16.98,*,>,20.6,,10.0,Ir,X,,3.91,TRGB
FS04,10,42,0.3,+,12,20,6,1.0,0.46,0.11,,18.65,15.7,,,13.0,*,,17.27,36.0,8.0,,,772.0,10.4,mem
LeG09,10,42,34.6,+,12,9,2,0.71,0.83,0.11,>,23.0,18.5,,,14.3,*,>,18.2,,-2.0,Sph,L,,10.4,mem
DDO084,10,42,41.9,+,34,26,56,4.47,0.74,0.1,,14.17,13.73,,16.56,11.17,,,13.4,74.0,8.0,,,630.0,8.11,h
AGC205268,10,42,52.4,+,13,44,28,0.38,0.46,0.13,,20.27,17.4,,,14.93,*,,15.85,70.0,9.0,BCD,N,1145.0,10.4,mem
ESO376-016,10,43,27.1,-,37,2,33,0.69,0.56,0.25,,,15.53,,,12.95,*,,14.93,41.0,10.0,Ir,N,670.0,7.1,TF
NGC3344,10,43,30.2,+,24,55,25,7.59,0.9,0.14,,12.63,10.45,,14.09,7.44,,,12.18,157.0,4.0,,,588.0,6.85,h
LeG10,10,43,55.4,+,12,8,7,0.16,0.95,0.11,,23.43,19.2,,,16.75,*,>,18.2,,10.0,Ir,N,,10.4,mem
NGC3351,10,43,57.7,+,11,42,13,7.24,0.68,0.12,,13.49,10.58,,14.46,6.67,,,13.48,270.0,3.0,,,777.0,10.05,Cep
LeG11,10,44,2.1,+,15,35,20,0.35,0.9,0.14,>,23.0,18.8,,,16.32,*,>,17.8,,10.0,Tr,L,,10.4,mem
LeG12,10,44,7.8,+,11,31,59,0.22,0.8,0.13,,21.07,18.5,,,16.03,*,>,17.4,,10.0,Ir,N,,10.4,mem
AGC205445,10,44,35.3,+,13,56,23,0.6,0.84,0.14,,21.73,16.4,,,12.17,*,,,,-1.0,Tr,N,633.0,10.4,mem
LeG13,10,44,57.6,+,11,54,58,0.42,0.44,0.1,,19.74,17.43,>,22.96,14.99,*,,19.04,24.0,10.0,Ir,N,871.0,10.4,mem
LeG14,10,46,14.4,+,12,57,36,0.36,0.88,0.1,>,23.0,18.7,,,14.51,*,>,18.27,,-3.0,Sph,L,,10.4,mem
KK93,10,46,24.8,+,14,1,30,0.58,0.94,0.13,>,23.0,18.0,,,13.78,*,>,18.2,,-3.0,Sph,N,,10.4,mem
LeG16,10,46,30.0,+,11,45,21,0.29,0.98,0.11,>,23.0,19.0,,,14.8,*,,,,-2.0,Tr,L,,10.4,mem
LeG17,10,46,41.5,+,12,19,35,0.58,0.78,0.1,,,16.98,,,12.79,*,,17.17,37.0,-1.0,Sph,N,1030.0,10.4,mem
NGC3368,10,46,45.8,+,11,49,11,8.91,0.68,0.11,,14.2,10.11,,15.03,6.32,,,12.98,343.0,3.0,,,893.0,10.42,Cep
LeG18,10,46,53.3,+,12,44,40,0.28,0.75,0.1,,23.15,18.9,,,16.46,*,,18.05,38.0,10.0,Tr,L,636.0,10.4,mem
LeG19,10,46,54.8,+,12,47,17,0.37,0.7,0.1,>,23.3,17.8,,,13.61,*,,,,-1.0,Sph,L,,10.4,mem
KK94,10,46,57.3,+,12,59,54,0.58,0.85,0.13,,23.12,17.5,,,15.03,*,,16.69,35.0,10.0,Tr,L,832.0,10.4,mem
LeG21,10,47,0.8,+,12,57,35,0.25,0.75,0.13,,22.71,18.6,,,16.13,*,,18.2,23.0,10.0,Ir,L,843.0,10.4,mem
DDO088,10,47,22.3,+,14,4,13,2.14,0.95,0.15,,16.59,14.4,,18.89,11.91,*,,15.59,43.0,9.0,Im,N,573.0,7.73,TRGB
ESO318-013,10,47,41.9,-,38,51,15,1.78,0.14,0.33,,16.91,14.97,,,12.07,*,,14.88,54.0,8.0,,,718.0,6.5,TF
NGC3377,10,47,42.4,+,13,59,8,5.25,0.58,0.15,,18.05,11.24,,,7.44,,,,,-2.0,,,678.0,10.91,SBF
NGC3379,10,47,49.6,+,12,34,54,5.37,0.89,0.11,,,10.24,,,6.27,,,,,-3.0,,,923.0,11.12,SBF
NGC3384,10,48,16.9,+,12,37,45,5.5,0.45,0.12,,,10.85,,,6.75,,,,,-1.0,,,704.0,11.38,SBF
UGC05923,10,49,7.6,+,6,55,2,1.26,0.47,0.12,,17.49,14.4,,18.66,11.46,,,16.15,142.0,7.0,,,709.0,22.3,TF
Willman1,10,49,21.0,+,51,3,0,3.7,0.53,0.06,,21.24,16.04,,,11.89,*,>,16.33,,-2.0,Sph,X,-12.0,0.04,CMD
DDO087,10,49,36.5,+,65,31,50,1.58,0.9,0.05,,16.48,15.15,,19.41,11.86,,,14.6,66.0,10.0,Ir,L,340.0,7.45,BS
LeG22,10,49,37.1,+,11,21,6,0.56,0.66,0.13,>,23.0,18.0,,,15.53,*,,,,10.0,Tr,L,,10.4,mem
LeG23,10,50,9.1,+,13,29,1,0.18,0.95,0.14,,21.52,19.1,,,16.62,*,,,,10.0,Ir,N,,10.4,mem
UGC05944,10,50,19.1,+,13,16,19,1.12,0.97,0.13,,23.36,15.6,,,12.0,,,,,-1.0,dE,N,1073.0,11.07,SBF
KK96,10,50,27.1,+,12,21,39,0.6,0.8,0.11,,23.17,18.3,,,14.1,*,,,,-3.0,Sph,L,,10.4,mem
NGC3412,10,50,53.3,+,13,24,44,3.98,0.56,0.12,,18.44,11.44,,17.73,7.67,,>,16.4,,-1.0,,,846.0,10.4,mem
NGC3413,10,51,20.7,+,32,45,59,2.22,0.51,0.1,,15.51,13.23,,,10.36,*,,14.16,142.0,8.0,,,634.0,12.02,TF
LeG26,10,51,21.1,+,12,50,57,0.69,0.89,0.1,,21.64,16.9,,,12.71,*,>,17.4,,-2.0,Sph,N,630.0,10.4,mem
AGC205540,10,51,31.4,+,14,6,53,0.32,0.62,0.14,,23.94,18.0,,,15.52,*,>,17.1,,10.0,Tr,N,832.0,10.4,mem
KKH65,10,51,59.1,+,28,21,45,0.58,0.86,0.08,>,23.0,17.4,,,13.23,*,,,,-2.0,Sph,L,,10.0,txt
AGC205544,10,52,4.8,+,15,1,50,0.45,0.8,0.09,>,23.0,17.1,,,12.92,*,>,17.4,,-1.0,dE,N,828.0,10.4,mem
LV J1052+3628,10,52,5.5,+,36,28,36,0.44,0.69,0.06,,19.2,17.9,,,15.5,*,,,,10.0,Ir,N,476.0,9.2,mem
UGC05983,10,52,17.5,+,36,35,36,1.1,0.61,0.06,,20.35,16.0,,,13.6,*,,,,10.0,Ir,N,765.0,9.2,mem
AGC202456,10,52,19.5,+,11,2,36,0.72,0.89,0.1,>,23.0,16.2,,,12.01,*,>,17.4,,-1.0,dE,N,824.0,10.4,mem
LeG27,10,52,20.1,+,14,42,26,0.37,0.67,0.09,,22.02,18.6,,,14.42,*,,,,-2.0,Tr,L,,10.4,mem
NGC3432,10,52,31.1,+,36,37,8,5.37,0.22,0.06,,13.38,11.67,,14.71,9.06,,,11.86,248.0,8.0,,,611.0,9.2,TF
LV J1052+3639,10,52,40.8,+,36,39,54,1.68,0.37,0.06,,16.9,15.8,,,13.4,*,,,,10.0,Ir,N,511.0,9.2,mem
KDG073,10,52,57.1,+,69,32,45,1.2,0.83,0.01,,18.83,17.09,,23.58,14.73,*,,17.4,18.0,10.0,Ir,L,116.0,3.7,TRGB
LeG28,10,53,0.7,+,10,22,45,0.68,0.5,0.11,>,23.0,18.3,,,15.85,*,,,,10.0,Tr,L,,10.4,mem
UGC06014,10,53,42.7,+,9,43,41,1.2,0.57,0.14,,17.27,15.0,,,12.49,*,,16.42,94.0,9.0,Im,N,1133.0,10.4,mem
LSBC D640-12,10,55,57.1,+,12,20,20,0.45,0.5,0.08,,21.68,18.4,,,15.98,*,,19.9,22.0,10.0,Ir,L,847.0,10.4,mem
LSBC D640-13,10,56,14.0,+,12,0,37,0.58,0.57,0.08,,17.91,16.9,,,14.48,*,,16.84,30.0,10.0,Ir,N,989.0,10.4,mem
HS1053+3624,10,56,40.4,+,36,8,28,0.5,0.49,0.08,,18.27,17.76,,,15.34,*,,,,10.0,Ir,N,572.0,9.2,mem
ESO215-009,10,57,30.2,-,48,10,44,2.0,0.6,0.95,,19.21,16.03,,,12.6,,,12.39,65.0,10.0,Ir,N,598.0,5.25,TRGB
VV747,10,57,47.0,+,36,15,39,1.1,0.56,0.09,,16.56,15.5,,,13.07,*,,,,10.0,Ir,N,619.0,9.2,mem
CGCG 095-078,10,58,2.2,+,19,30,19,0.84,0.48,0.11,,,15.6,,,13.15,*,,17.6,30.0,9.0,BCD,N,650.0,7.37,h
LSBC D640-14,10,58,10.5,+,11,59,57,0.48,0.66,0.07,,22.93,18.5,,,14.34,*,,,,-2.0,Sph,L,,10.4,mem
AGC205278,10,58,52.1,+,14,7,46,0.54,0.68,0.08,,20.51,17.3,,,14.88,*,,18.54,36.0,10.0,Ir,N,686.0,10.4,mem
