Name,RAh,RAm,RAs,DE,DEd,DEm,DEs,a26,b_a,AB,l_FUVmag,FUVmag,Bmag,l_Hamag,Hamag,Kmag,f_Kmag,l_21mag,21mag,W50,TType,Tdw1,Tdw2,RVel,Dis,f_Dis
CVnI,13,28,3.5,+,33,33,21,14.3,0.61,0.06,>,23.0,13.94,,,9.79,*,>,16.34,,-3.0,Sph,X,31.0,0.22,TRGB
LV J1328+4937,13,28,31.2,+,49,37,38,0.45,0.55,0.04,,18.01,17.3,,,14.91,*,,,,10.0,Ir,N,395.0,8.02,mem
PGC170257,13,29,21.0,-,21,10,45,0.93,0.75,0.46,,17.55,15.33,,,12.6,,,17.0,50.0,9.0,BCD,H,650.0,6.5,mem
NGC5204,13,29,36.4,+,58,25,4,5.13,0.6,0.05,,13.02,11.73,,15.01,9.51,,,12.66,115.0,8.0,,,201.0,4.66,TRGB
NGC5194,13,29,52.7,+,47,14,4,15.85,0.62,0.15,,11.34,8.61,,12.41,5.5,,,12.15,175.0,5.0,,,446.0,8.4,SN
NGC5195,13,29,58.7,+,47,16,5,6.92,0.92,0.15,,14.39,10.45,,14.69,6.25,,,14.89,165.0,0.0,,,455.0,7.66,SBF
UGC08508,13,30,44.4,+,54,54,36,2.14,0.59,0.06,,,14.12,,17.63,11.57,,,14.73,46.0,10.0,Ir,N,56.0,2.69,TRGB
AGC238890,13,32,30.3,+,25,7,25,0.83,0.63,0.06,,,16.6,,,14.2,*,,18.54,20.0,9.0,BCD,N,360.0,6.8,TF
UGCA361,13,32,36.2,+,49,49,49,0.98,0.59,0.03,,21.82,16.7,,,12.57,*,,,,-1.0,Tr,L,,8.0,mem
NGC5206,13,33,43.9,-,48,9,4,3.72,0.86,0.52,,,11.62,>,22.61,8.48,,>,17.0,,-3.0,,,583.0,3.47,TRGB
NGC5229,13,34,2.9,+,47,54,55,3.39,0.13,0.08,,15.88,14.33,,17.51,11.67,,,14.16,126.0,7.0,,,359.0,8.0,mem
NGC5238,13,34,42.7,+,51,36,50,2.09,0.82,0.05,,15.3,13.55,,17.01,11.5,,,15.54,40.0,10.0,Ir,N,229.0,4.51,TRGB
ESO270-017,13,34,47.3,-,45,32,51,15.85,0.12,0.48,,,11.71,,15.56,8.2,,,12.11,147.0,8.0,,,827.0,3.6,mem
UGCA365,13,36,30.8,-,29,14,11,1.58,0.42,0.23,,18.0,15.49,,23.66,12.64,,,16.27,31.0,10.0,Ir,L,577.0,5.25,TRGB
KK208,13,36,35.5,-,29,34,15,5.89,0.42,0.19,,23.72,14.3,>,25.37,10.03,*,>,17.6,,-3.0,Sph,X,,4.68,TRGB
MCG +08-25-028,13,36,44.8,+,44,35,57,0.95,0.52,0.07,,17.88,15.9,,,13.49,*,,,,10.0,Ir,N,480.0,7.74,h
NGC5236,13,37,0.1,-,29,52,4,18.62,0.89,0.28,,10.65,8.2,,11.66,4.62,,,9.3,261.0,5.0,,,519.0,4.92,TRGB
HIDEEP J1337-33,13,37,0.6,-,33,21,47,0.2,0.95,0.21,,19.45,17.3,>,24.25,14.76,*,,17.35,20.0,10.0,Ir,N,591.0,4.37,TRGB
ESO444-084,13,37,20.2,-,28,2,46,1.35,0.77,0.3,,16.56,15.06,,18.61,12.6,,,14.41,56.0,10.0,Ir,N,587.0,4.61,TRGB
HIPASS J1337-39,13,37,25.1,-,39,53,52,0.52,0.83,0.32,,17.82,16.5,>,24.25,13.8,,,15.35,37.0,10.0,Ir,N,492.0,4.83,TRGB
NGC5237,13,37,38.9,-,42,50,51,2.0,0.84,0.41,,16.37,13.23,,17.3,9.85,,,14.73,77.0,9.0,BCD,H,361.0,3.4,TRGB
UGC08638,13,39,19.4,+,24,46,33,1.66,0.67,0.06,,15.89,14.47,,18.05,11.53,,,16.29,31.0,10.0,Ir,N,276.0,4.27,TRGB
DDO181,13,39,53.8,+,40,44,21,2.4,0.57,0.03,,15.65,14.22,,17.82,11.85,,,14.9,39.0,10.0,Ir,N,214.0,3.01,TRGB
NGC5253,13,39,55.8,-,31,38,24,6.92,0.38,0.24,,12.82,10.87,,13.21,8.29,,,13.74,67.0,8.0,,,407.0,3.56,TRGB
IC4316,13,40,18.1,-,28,53,40,2.04,0.63,0.24,,16.56,14.56,,18.7,10.96,,,16.43,22.0,10.0,Ir,N,576.0,4.41,TRGB
NGC5264,13,41,37.0,-,29,54,50,3.47,0.6,0.22,,15.34,12.6,,17.13,9.5,,,14.99,35.0,8.0,,,478.0,4.53,TRGB
[KK2000] 57,13,41,38.1,-,42,34,55,0.55,0.87,0.39,,,18.1,,,13.64,*,>,17.8,,-3.0,Sph,L,,3.93,TRGB
KK211,13,42,5.6,-,45,12,18,1.2,0.87,0.48,>,23.0,16.32,>,25.37,11.78,*,>,19.2,,-2.0,Sph,L,600.0,3.58,TRGB
LV J1342+4840,13,42,20.1,+,48,40,57,0.78,0.69,0.04,,,16.3,,,13.91,*,,,,9.0,Im,N,438.0,7.44,h
DDO182,13,42,32.6,+,39,39,30,1.32,0.74,0.04,,16.07,15.69,,18.86,13.3,*,,15.49,38.0,10.0,Ir,N,663.0,8.9,TF
KK213,13,43,35.8,-,43,46,9,0.48,0.5,0.42,,,18.0,>,25.37,13.52,*,>,17.8,,-3.0,Sph,L,,3.63,TRGB
ESO325-011,13,45,0.8,-,41,51,32,3.16,0.48,0.38,,,14.02,,16.39,11.32,,,13.82,58.0,10.0,Ir,L,544.0,3.4,TRGB
[KK2000] 58,13,46,0.8,-,36,19,44,0.93,0.7,0.27,,,17.41,>,25.37,13.06,*,>,19.7,,-3.0,Sph,L,,3.6,mem
KK217,13,46,17.2,-,45,41,5,0.65,0.83,0.52,,,17.57,,,12.99,*,>,20.9,,-3.0,Sph,L,,3.84,TRGB
KK218,13,46,39.5,-,29,58,45,0.81,0.45,0.26,>,23.0,17.6,>,25.37,13.26,*,>,20.9,,-3.0,Sph,L,,4.6,mem
ESO174-001,13,47,57.7,-,53,21,4,2.45,0.43,2.13,,,14.2,,,11.5,,,13.18,71.0,10.0,Ir,L,686.0,3.6,TF
CenN,13,48,9.2,-,47,33,54,0.76,0.78,0.61,,,17.5,,,12.84,*,>,17.8,,-3.0,Sph,L,,3.66,TRGB
HIPASS J1348-37,13,48,33.9,-,37,58,3,0.47,0.8,0.33,,,17.6,,,14.9,,,16.4,39.0,10.0,Ir,L,582.0,5.75,TRGB
KK221,13,48,46.4,-,46,59,49,1.51,0.67,0.6,,,17.3,,,14.4,*,>,17.8,,10.0,Ir,L,507.0,3.98,TRGB
ESO383-087,13,49,18.8,-,36,3,41,5.62,0.8,0.31,,13.69,11.0,,15.21,8.2,,,13.81,33.0,8.0,,,326.0,3.45,TRGB
DDO183,13,50,51.1,+,38,1,16,2.4,0.32,0.07,,15.98,14.45,,19.26,12.04,*,,15.1,29.0,10.0,Ir,N,188.0,3.22,TRGB
HIPASS J1351-47,13,51,22.0,-,47,0,0,0.56,0.6,0.62,,,17.5,,,14.6,,,16.06,39.0,10.0,Ir,L,529.0,5.73,TRGB
KDG229,13,53,41.6,+,60,3,4,0.85,0.57,0.05,,23.62,16.5,,,14.1,*,,,,10.0,Ir,L,,8.0,txt
KKH86,13,54,33.6,+,4,14,35,0.85,0.71,0.12,,19.69,16.88,,26.06,14.09,,,18.12,14.0,10.0,Ir,L,287.0,2.59,TRGB
HolmIV,13,54,45.1,+,53,54,17,4.07,0.3,0.06,,,13.76,,17.35,11.04,,,14.24,78.0,8.0,,,140.0,7.21,TRGB
UGC08833,13,54,48.7,+,35,50,15,1.17,0.89,0.05,,16.73,15.3,,19.76,12.31,,,15.77,28.0,10.0,Ir,N,221.0,3.08,TRGB
LV J1354+5438,13,54,50.6,+,54,38,50,,,0.04,,,,,,,*,,17.3,27.0,11.0,HIcld,,210.0,7.41,mem
KK227,13,56,10.1,+,40,18,12,0.71,0.81,0.04,>,23.0,17.5,,,13.36,*,,,,-2.0,Ir,L,,10.0,txt
ESO384-016,13,57,1.6,-,35,20,2,1.32,0.69,0.32,,19.22,15.11,>,23.86,12.0,,,17.36,17.0,9.0,BCD,N,561.0,4.53,TRGB
BootesIII,13,57,7.4,+,26,46,30,56.0,0.65,0.1,>,23.0,12.6,,,8.41,*,,,,-3.0,Sph,X,198.0,0.05,HB
UGC08882,13,57,14.6,+,54,6,3,1.07,0.73,0.04,,21.6,15.77,,23.97,13.72,,,,,-1.0,dE,N,348.0,8.32,SBF
BootesII,13,58,0.0,+,12,50,0,6.7,0.73,0.08,,22.45,16.32,,,12.15,*,>,19.88,,-2.0,Sph,X,-117.0,0.04,CMD
BootesI,14,0,0.0,+,14,30,0,20.0,0.61,0.08,>,23.0,13.66,,,9.49,*,>,19.88,,-2.0,Sph,X,99.0,0.07,HB
NGC5398,14,1,22.2,-,33,3,52,3.55,0.52,0.28,,14.93,12.78,,,10.34,,,14.22,98.0,7.0,,,1220.0,8.1,TF
MESSIER101,14,3,12.8,+,54,21,2,30.2,0.93,0.04,,10.04,8.31,,11.91,5.51,,,10.39,147.0,6.0,,,240.0,7.38,Cep
NGC5408,14,3,21.5,-,41,22,35,2.82,0.42,0.3,,,12.2,,14.68,10.5,,,13.26,70.0,9.0,Im,N,502.0,4.81,TRGB
NGC5474,14,5,2.1,+,53,39,47,4.79,0.9,0.05,,13.0,11.48,,15.47,9.48,,,12.52,39.0,8.0,,,288.0,7.2,BS
NGC5477,14,5,33.1,+,54,27,39,2.04,0.76,0.05,,14.97,14.19,,17.04,11.79,*,,13.48,53.0,9.0,Im,N,312.0,7.7,BS
KK230,14,7,10.7,+,35,3,37,0.76,0.83,0.06,,18.24,17.5,,24.25,14.55,,,16.67,17.0,10.0,Ir,L,63.0,2.14,TRGB
CIRCINUS,14,13,9.3,-,65,20,21,6.92,0.43,4.2,,,12.12,,14.33,5.28,,,10.7,251.0,3.0,,,434.0,4.2,TF
KKH87,14,15,9.4,+,57,5,15,1.12,0.37,0.05,,17.38,16.1,,19.92,13.7,*,,15.64,38.0,10.0,Ir,N,320.0,7.2,TF
DDO187,14,15,56.5,+,23,3,19,1.7,0.76,0.1,,16.4,14.38,,20.61,12.46,,,14.89,31.0,10.0,Ir,N,160.0,2.2,TRGB
KKR08,14,19,14.8,+,3,7,26,0.56,0.82,0.15,>,23.0,18.0,,,13.76,*,>,17.8,,-2.0,Sph,L,,8.0,txt
NGC5585,14,19,48.3,+,56,43,49,5.89,0.64,0.07,,13.17,11.2,,15.41,9.5,,,12.56,145.0,7.0,,,303.0,5.7,BS
DDO190,14,24,43.5,+,44,31,33,2.4,0.89,0.05,,14.92,13.1,,17.67,10.72,,,14.28,45.0,9.0,Im,N,150.0,2.74,TRGB
PGC051659,14,28,3.7,-,46,18,6,1.86,0.38,0.56,,,15.2,,20.87,12.34,*,,14.16,46.0,10.0,Ir,L,391.0,3.58,TRGB
Centaurus A-dE5,14,30,5.0,-,33,28,45,0.52,0.58,0.33,>,23.0,18.43,>,25.37,15.78,*,>,20.2,,10.0,Tr,L,,9.0,txt
ESO222-010,14,35,3.0,-,49,25,18,0.44,0.44,1.11,,,16.33,,19.16,12.96,*,,15.2,46.0,10.0,Ir,N,620.0,5.8,TF
DDO194,14,35,24.6,+,57,15,24,2.14,0.35,0.05,,16.81,14.52,,21.03,11.87,*,,15.08,86.0,8.0,,,218.0,8.02,BS
MRK0475,14,39,5.4,+,36,48,22,0.45,0.75,0.05,,17.48,16.41,,17.61,14.01,*,,19.46,32.0,9.0,BCD,H,583.0,9.2,TF
HIPASS J1441-62,14,41,42.7,-,62,46,2,0.3,0.65,5.71,,,20.5,,,12.93,*,,15.87,52.0,10.0,Ir,L,672.0,6.02,h
ESO272-025,14,43,25.5,-,44,42,19,1.58,0.5,0.69,,,14.79,,18.73,12.27,,,16.95,42.0,10.0,Ir,N,631.0,5.88,h
ESO273-014,14,58,30.3,-,47,41,55,3.8,0.73,1.32,,,12.9,,,9.79,,,11.79,185.0,7.0,,,1050.0,9.9,TF
ESO223-009,15,1,8.5,-,48,17,33,2.63,0.92,1.12,,,13.82,,15.91,9.44,,,12.86,61.0,10.0,Ir,N,588.0,6.49,TRGB
UGC09660,15,1,9.3,+,44,41,53,1.2,0.49,0.09,,15.99,14.35,,18.46,11.74,,,15.42,66.0,9.0,BCD,N,608.0,7.4,TF
UMin,15,9,11.3,+,67,12,52,30.2,0.44,0.14,>,23.0,11.9,,,7.67,*,>,13.41,,-3.0,Sph,X,-255.0,0.06,TRGB
ESO274-001,15,14,13.5,-,46,48,45,13.49,0.1,1.11,,,11.7,,15.39,8.36,,,12.26,170.0,7.0,,,524.0,3.09,TRGB
HIPASS J1526-51,15,26,22.9,-,51,10,31,,,2.74,,,19.5,,,14.64,*,,15.42,39.0,10.0,Ir,L,605.0,5.68,h
UGC09992,15,41,47.8,+,67,15,15,1.66,0.61,0.16,,16.62,15.4,,19.06,12.9,*,,15.1,49.0,10.0,Ir,N,423.0,7.3,TF
KKR25,16,13,47.6,+,54,22,16,1.1,0.59,0.04,,,17.0,,22.96,12.86,*,>,19.9,,-1.0,Sph,L,-79.0,1.86,TRGB
ESO137-018,16,20,59.3,-,60,29,15,3.47,0.34,1.05,,,12.23,,16.61,8.37,,,13.2,138.0,6.0,,,603.0,6.4,TRGB
Hercules,16,31,2.0,+,12,47,30,13.5,0.33,0.26,>,23.0,15.0,,,10.66,*,>,19.88,,-3.0,Sph,X,45.0,0.15,HB
KDG235,17,0,25.3,+,70,17,24,1.29,0.81,0.15,,18.57,16.8,,22.48,14.31,*,,16.28,29.0,10.0,Ir,L,443.0,10.6,TF
Draco,17,20,1.4,+,57,54,34,35.48,0.69,0.12,>,23.0,10.9,,,6.69,*,>,19.88,,-3.0,Sph,X,-296.0,0.08,TRGB
Milky Way,17,45,40.0,-,29,0,28,,,,,,-4.6,,,,*,-,3.35,440.0,4.0,,,0.0,0.01,geom
IC4662,17,47,6.3,-,64,38,25,2.82,0.57,0.3,,13.02,11.74,,13.81,8.53,,,12.27,86.0,9.0,BCD,N,302.0,2.44,TRGB
NGC6503,17,49,27.6,+,70,8,41,7.08,0.34,0.14,,13.45,10.86,,14.03,7.3,,,12.67,196.0,6.0,,,51.0,5.27,TRGB
IC4710,18,28,38.0,-,66,58,56,3.72,0.78,0.38,,14.18,12.51,,15.53,9.56,*,,13.67,46.0,8.0,,,739.0,7.94,h
NGC6684,18,48,57.9,-,65,10,24,3.98,0.65,0.29,,,11.31,,,7.05,,,17.0,93.0,0.0,,,866.0,8.7,TF
Sag dSph,18,55,3.1,-,30,28,42,446.68,0.48,0.66,,,4.5,,,-0.2,*,>,17.36,,-3.0,Sph,X,140.0,0.02,TRGB
ESO104-022,18,55,41.2,-,64,48,39,1.48,0.67,0.36,,17.55,15.63,,,12.95,*,,14.27,38.0,10.0,Ir,L,797.0,6.7,TF
[KK2000] 70,19,6,58.9,-,63,57,57,0.55,0.82,0.2,,23.53,17.7,,,15.17,*,,,,10.0,Ir,L,,8.3,mem
UGC11411,19,8,42.3,+,70,17,2,0.79,0.7,0.52,,16.64,15.6,,17.48,12.8,,,,,9.0,BCD,N,69.0,4.73,h
[KK2000] 71,19,8,44.0,-,63,43,53,1.82,0.39,0.19,,15.99,15.1,,,12.58,*,,,,10.0,Ir,N,,8.3,mem
NGC6744,19,9,45.9,-,63,51,28,21.38,0.65,0.18,,11.47,9.14,,13.09,5.94,,,9.95,323.0,4.0,,,841.0,8.3,TF
ESO104-044,19,11,23.1,-,64,13,9,1.78,0.64,0.16,,17.57,14.96,,20.36,12.46,*,,14.6,70.0,10.0,Ir,L,750.0,8.3,mem
[KK2000] 72,19,12,22.9,-,63,51,22,0.55,0.75,0.17,,19.59,17.9,,,15.39,*,,,,10.0,Ir,L,,8.3,mem
NGC6789,19,16,41.8,+,63,58,22,1.41,0.77,0.3,,16.79,13.76,,18.24,11.2,,>,17.4,,9.0,BCD,H,-140.0,3.63,TRGB
Sag dIr,19,29,59.0,-,17,40,41,2.88,0.72,0.52,,15.89,14.12,,19.36,12.13,,,13.58,28.0,10.0,Ir,L,-79.0,1.04,TRGB
IC4870,19,37,37.6,-,65,48,43,1.74,0.56,0.49,,15.53,14.5,,17.04,12.11,,,13.92,78.0,9.0,BCD,N,877.0,7.3,TF
NGC6822,19,44,57.7,-,14,48,11,19.05,0.87,1.03,,12.04,9.31,,12.71,6.0,,,8.94,80.0,10.0,Ir,N,-57.0,0.5,Cep
LV J1952+1428,19,52,11.8,+,14,28,24,0.3,0.93,1.1,,,16.9,,,13.54,*,,17.47,28.0,9.0,BCD,N,279.0,7.13,h
KK246,20,3,57.4,-,31,40,54,0.91,0.42,1.28,,19.96,17.06,,,13.3,,,15.12,52.0,10.0,Ir,N,435.0,7.83,TRGB
IC4951,20,9,31.8,-,61,51,2,3.24,0.18,0.17,,15.55,13.97,,17.48,10.98,*,,13.91,122.0,8.0,,,814.0,9.8,TF
UGC11583,20,30,15.3,+,60,26,25,2.19,0.24,1.32,,,15.9,,20.2,12.3,*,,14.0,96.0,10.0,Ir,L,126.0,5.89,BS
KK251,20,30,32.0,+,60,21,13,1.58,0.5,1.28,,,16.5,,20.13,12.98,*,,14.56,52.0,10.0,Ir,L,130.0,5.89,BS
KK252,20,31,32.6,+,60,48,48,0.89,0.99,1.95,,,16.7,,20.85,12.57,*,,17.07,28.0,10.0,Ir,L,138.0,5.89,BS
NGC6946,20,34,51.1,+,60,9,15,14.79,0.85,1.48,,13.16,9.61,,12.53,5.37,,,9.99,169.0,6.0,,,51.0,5.89,BS
KKR55,20,45,20.8,+,60,24,40,0.6,0.67,2.94,,,17.0,,19.66,11.96,*,,15.6,37.0,10.0,Ir,N,32.0,5.89,BS
DDO210,20,46,51.8,-,12,50,53,2.63,0.5,0.22,,16.96,14.0,,22.23,11.29,,,14.64,19.0,10.0,Ir,L,-140.0,0.94,TRGB
KKR56,20,48,24.1,+,58,37,6,0.71,0.64,3.14,,,17.6,,21.36,12.38,*,,15.57,10.0,10.0,Ir,L,-43.0,5.89,BS
Cepheus1,20,51,9.7,+,56,53,24,3.02,0.5,4.05,,,15.4,,19.31,9.05,*,,12.1,90.0,8.0,,,33.0,6.0,mem
IC5052,20,52,6.2,-,69,12,14,8.13,0.14,0.22,,14.35,11.68,,15.76,8.88,,,12.51,174.0,7.0,,,584.0,6.03,TRGB
KKR59,21,3,24.2,+,57,17,14,2.29,0.61,3.86,,,15.7,,18.25,9.57,*,,,63.0,8.0,,,-3.0,5.89,BS
KKR60,21,5,53.0,+,57,12,19,0.71,0.7,4.57,,,18.0,,19.05,11.47,*,,,,10.0,Ir,L,-14.0,5.9,mem
Segue 3,21,21,31.0,+,19,7,2,1.3,0.7,0.4,>,23.0,15.9,,,11.43,*,,,,-3.0,Sph,N,,0.02,CMD
NGC7090,21,36,28.6,-,54,33,26,10.23,0.18,0.1,,14.29,11.33,,14.91,8.16,,,12.57,205.0,6.0,,,850.0,6.7,TF
IC5152,22,2,41.9,-,51,17,43,7.08,0.62,0.11,,12.54,11.03,,15.91,7.97,,,12.26,85.0,9.0,BCD,N,122.0,1.97,TRGB
IC5201,22,20,57.4,-,46,2,3,8.71,0.46,0.05,,13.28,11.3,,15.44,8.0,,,12.48,195.0,6.0,,,915.0,8.8,TF
ESO238-005,22,22,30.1,-,48,24,18,3.09,0.65,0.06,,16.56,14.7,,19.06,12.28,*,,14.47,83.0,10.0,Ir,L,706.0,7.8,TF
AM2220-460,22,23,43.0,-,45,52,56,0.89,0.91,0.05,,17.37,16.37,,,13.97,*,,16.94,51.0,10.0,Ir,L,843.0,8.8,mem
And XXVIII,22,32,41.2,+,31,12,58,1.7,0.66,0.36,,,16.7,,,12.27,*,,,,-1.0,Tr,L,,0.65,TRGB
KK258,22,40,43.9,-,30,47,59,1.7,0.5,0.06,,20.02,16.3,,,12.15,*,>,18.2,,-3.0,Tr,L,,2.0,txt
Tucana,22,41,49.0,-,64,25,12,2.88,0.41,0.14,,22.04,15.7,,,11.47,*,>,20.1,,-1.0,Tr,L,194.0,0.88,TRGB
PiscesII,22,58,31.0,+,5,57,9,1.8,0.69,0.28,,22.68,17.2,,,12.84,*,,,,-3.0,Sph,X,,0.18,HB
NGC7462,23,2,47.2,-,40,50,6,5.5,0.17,0.05,,14.25,12.53,,,9.65,,,13.83,183.0,6.0,,,1057.0,10.1,TF
ApplesI,23,15,3.3,-,42,32,22,0.1,0.73,0.05,>,23.0,21.4,,,17.25,*,,,,-3.0,Sph,X,674.0,8.32,TRGB
NGC7640,23,22,6.6,+,40,50,44,10.47,0.19,0.48,,,11.61,,15.26,8.6,,,11.55,238.0,5.0,,,369.0,7.9,TF
UGC12588,23,24,42.4,+,41,20,53,1.86,0.82,0.63,,,14.11,,17.01,10.89,*,,14.91,90.0,8.0,,,425.0,7.9,mem
UGCA438,23,26,27.5,-,32,23,26,2.14,0.8,0.06,,15.43,13.89,,20.17,11.04,,,14.44,35.0,10.0,Ir,N,62.0,2.18,TRGB
Cas dSph,23,26,31.8,+,50,40,32,3.02,0.87,0.83,>,23.0,13.65,,24.11,8.79,*,>,16.34,,-3.0,Sph,L,-307.0,0.79,TRGB
ESO347-017,23,26,56.1,-,37,20,49,1.91,0.34,0.07,,15.75,14.69,,17.69,11.78,*,,14.87,69.0,7.0,,,691.0,7.6,TF
Pegasus,23,28,34.1,+,14,44,48,5.5,0.54,0.28,,16.27,13.21,,19.81,9.87,,,13.9,23.0,10.0,Ir,L,-184.0,0.76,TRGB
DDO217,23,29,58.7,+,40,59,25,5.25,0.82,0.62,,15.76,12.84,,16.81,9.6,*,,13.23,117.0,8.0,,,424.0,9.7,TF
IC5332,23,34,27.5,-,36,6,6,8.32,0.87,0.07,,12.62,11.0,,14.63,8.7,,,12.33,102.0,7.0,,,701.0,7.8,mem
LV J2335-3713,23,35,4.1,-,37,13,14,0.58,0.57,0.07,,,16.64,,,14.23,*,,17.26,29.0,10.0,Ir,N,615.0,7.8,mem
NGC7713,23,36,15.0,-,37,56,20,6.76,0.41,0.07,,,11.49,,15.08,9.19,,,13.44,182.0,6.0,,,692.0,7.8,TF
UGC12713,23,38,14.5,+,30,42,33,1.78,0.47,0.27,,16.95,14.81,,18.43,11.5,,,15.21,95.0,7.0,,,295.0,12.2,TF
UGCA442,23,43,46.0,-,31,57,33,6.31,0.14,0.07,,14.97,13.6,,17.51,11.42,,,13.47,94.0,8.0,,,267.0,4.27,TRGB
KKH98,23,45,34.0,+,38,43,4,1.05,0.55,0.53,,18.21,16.7,,20.08,13.82,,,16.66,21.0,10.0,Ir,L,-132.0,2.45,TRGB
ESO348-009,23,49,23.4,-,37,46,25,2.29,0.36,0.06,,16.37,14.81,,19.29,12.41,*,,14.54,85.0,10.0,Ir,L,647.0,11.5,TF
Peg dSph,23,51,46.4,+,24,35,10,3.98,0.59,0.28,>,23.0,14.17,,24.43,9.81,*,>,19.85,,-3.0,Sph,L,-345.0,0.82,RR
ESO149-003,23,52,2.8,-,52,34,39,2.63,0.18,0.06,,15.78,15.05,,18.65,12.65,*,,15.32,48.0,10.0,Ir,N,574.0,5.9,TF
And XXI,23,54,47.7,+,42,28,15,5.5,0.8,0.4,>,23.0,15.8,,,11.33,*,,,,-3.0,Sph,X,-361.0,0.86,TRGB
NGC7793,23,57,49.4,-,32,35,24,14.13,0.68,0.08,,11.28,9.72,,12.86,6.85,,,11.87,172.0,6.0,,,227.0,3.91,TRGB
And XXIX,23,58,55.6,+,30,45,20,2.7,0.65,0.2,>,23.0,17.0,,,12.72,*,,,,-2.0,Sph,X,,0.73,TRGB
